insert_job,job_type,owner,permission,date_conditions,start_times,condition,description,alarm_if_fail,application
US.ANA01036.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table txn_bill.new_unit_notice_info",1,ANA
US.ANA01037.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01047.BOX),"ETL Jobs for Snowflake table txn_bill.new_unit_notice_payment_info",1,ANA
US.ANA01038.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_state_city_location_code_info",1,ANA
US.ANA01039.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_monthly_billing_cutoff_date",1,ANA
US.ANA01040.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_client",1,ANA
US.ANA01041.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_charge_reason_code_xref",1,ANA
US.ANA01042.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01024.BOX),"ETL Jobs for Snowflake table core.asset_odom_mnthly_vrnc",1,ANA
US.ANA01043.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.asset_odom_rdng",1,ANA
US.ANA01044.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.asset_odometer_estimate",1,ANA
US.ANA01045.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_odom_rdng_src_cd",1,ANA
US.ANA01046.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01023.BOX),"ETL Jobs for Snowflake table ref_core.ref_rntl_cmpny_veh_cls_cd",1,ANA
US.ANA01047.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01011.BOX),"ETL Jobs for Snowflake table txn_bill.ats_detail",1,ANA
US.ANA01048.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01038.BOX),"ETL Jobs for Snowflake table txn_bill.new_unit_notice_adjustment_info",1,ANA
US.ANA01049.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table txn_bill.new_unit_notice_aquisition_info",1,ANA
US.ANA01050.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01040.BOX),"ETL Jobs for Snowflake table ref_core.ref_contract_code",1,ANA
US.ANA01051.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01027.BOX),"ETL Jobs for Snowflake table ref_core.ref_state_province_abbreviation",1,ANA
US.ANA01052.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01027.BOX),"ETL Jobs for Snowflake table ref_core.ref_state_province_region_xref",1,ANA
US.ANA01053.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01060.BOX),"ETL Jobs for Snowflake table txn_bill.loan_prin_hist_tran",1,ANA
US.ANA01054.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01044.BOX),"ETL Jobs for Snowflake table txn_bill.paid_ticket_info",1,ANA
US.ANA01055.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01044.BOX),"ETL Jobs for Snowflake table txn_bill.sold_unit_notice_info",1,ANA
US.ANA01056.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01004.BOX),"ETL Jobs for Snowflake table core.asset_lease_schedule_detail",1,ANA
US.ANA01057.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_inventory_status_code",1,ANA
US.ANA01058.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_product_class_code",1,ANA
US.ANA01059.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01027.BOX),"ETL Jobs for Snowflake table ref_core.ref_ata_code",1,ANA
US.ANA01060.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01006.BOX),"Rental Billing Monthly Jobs- ETL Jobs for Snowflake table txn_bill.billing_charge",y,ANA
US.ANA01061.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01051.CMD),"Trigger jSfPahSpinPsnId",1,ANA
US.ANA01062.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01001.BOX),"Trigger jSfCoreClientBreakdownSeedStg",1,ANA
US.ANA01063.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01064.BOX),"Trigger jSfRefCoreRefDateRangeLastEst",1,ANA
US.ANA01064.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01001.BOX),"Trigger jTnRFdbOtherChargeInfo",1,ANA
US.ANA01065.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01001.BOX),"Trigger jSfTxnTnROtherChargeInfo",1,ANA
US.ANA01066.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01056.BOX),"Trigger jSfGenDelete",1,ANA
US.ANA01067.BOX, box,autosys,gx;ge;wx,null,null,s(US.ANA01013.BOX),"Trigger jSfPahSpinPsnId",1,ANA
US.ANA01067.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_product_class_code",1,ANA
